Cust_id,Gender,Tenure,NumberofProducts,HasCreditCard,IsActiveMember,Churn
15634602,0,2,1,1,1,1
15647311,0,1,1,0,1,0
15619304,0,8,3,1,0,1
15701354,0,1,2,0,0,0
15737888,0,2,1,1,1,0
15574012,1,8,2,1,0,1
15592531,1,7,2,1,1,0
15656148,0,4,4,1,0,1
15792365,1,4,2,0,1,0
15592389,1,2,1,1,1,0
15767821,1,6,2,0,0,0
15737173,1,3,2,1,0,0
15632264,0,10,2,1,0,0
15691483,0,5,2,0,0,0
15600882,0,7,2,1,1,0
15643966,1,3,2,0,1,0
15737452,1,1,1,1,0,1
15788218,0,9,2,1,1,0
15661507,1,6,1,0,0,0
15568982,0,6,2,1,1,0
15577657,1,8,2,1,1,0
15597945,0,8,2,1,0,0
15699309,0,4,1,1,0,1
15725737,1,3,2,0,1,0
15625047,0,5,1,1,1,0
15738191,1,3,2,0,1,0
15736816,1,2,1,1,1,0
15700772,1,9,2,0,0,0
15728693,0,3,1,1,1,0
15656300,1,0,2,1,1,0
15589475,0,3,3,1,0,1
15706552,1,7,1,0,1,0
15750181,1,9,2,0,0,0
15659428,0,6,2,1,1,0
15732963,0,9,2,1,1,0
15794171,0,0,1,1,0,1
15788448,1,3,1,0,1,0
15729599,1,7,1,0,1,0
15717426,1,7,1,1,1,0
15585768,1,6,2,0,1,0
15619360,1,4,1,1,0,0
15738148,0,8,1,0,0,1
15687946,0,2,1,1,1,0
15755196,0,2,1,0,0,1
15684171,0,5,1,1,1,0
15754849,0,4,2,1,1,0
15602280,0,9,1,1,1,1
15771573,0,9,1,1,1,1
15766205,1,2,1,0,1,0
15771873,0,2,2,1,0,0
15616550,1,10,2,1,0,0
15768193,1,5,2,0,0,0
15683553,0,5,2,0,0,0
15702298,1,8,1,0,0,1
15569590,1,1,1,1,0,1
15760861,1,1,1,1,1,0
15630053,1,5,1,1,0,0
15647091,1,0,1,0,0,0
15623944,0,4,1,1,0,1
15804771,1,4,1,1,1,0
15651280,1,5,1,0,0,0
15773469,0,9,2,0,0,0
15702014,1,1,2,0,0,0
15751208,1,8,1,1,1,0
15592461,1,4,1,1,1,0
15789484,0,6,2,1,1,0
15696061,0,1,1,1,0,0
15641582,1,10,2,1,1,0
15638424,0,5,2,0,1,0
15755648,0,8,1,1,0,0
15703793,1,2,4,1,0,1
15620344,1,6,1,1,0,0
15812518,0,0,1,0,1,0
15779052,0,5,2,1,1,0
15770811,1,9,2,0,1,0
15780961,0,1,2,1,0,0
15614049,1,8,2,1,1,0
15662085,0,9,1,1,1,0
15575185,1,5,1,0,1,0
15803136,0,10,2,1,0,0
15706021,0,1,2,0,0,0
15663706,0,2,1,1,0,1
15641732,0,3,2,0,0,0
15701164,0,4,1,1,1,0
15738751,0,4,2,1,0,0
15805254,0,10,2,1,1,0
15762418,1,3,1,1,0,1
15625759,1,9,2,1,0,0
15622897,0,4,3,1,0,1
15767954,0,3,2,1,1,0
15757535,0,5,3,1,1,1
15731511,1,7,2,1,0,0
15809248,0,10,2,1,0,0
15640635,1,8,2,1,1,0
15676966,1,4,2,0,1,0
15699461,1,10,1,0,1,0
15738721,1,9,1,0,1,0
15693683,1,8,2,1,1,0
15604348,1,8,2,0,0,0
15633059,1,9,2,0,0,0
15808582,0,6,1,1,1,0
15743192,0,6,2,0,0,0
15580146,1,9,1,1,0,0
15776605,1,7,2,1,0,0
15804919,0,1,1,1,1,1
15613854,0,4,2,1,1,1
15599195,1,1,1,1,1,0
15812878,0,2,1,0,1,0
15602312,1,5,1,0,0,0
15744689,1,9,1,1,0,1
15803526,1,3,1,0,1,0
15665790,1,7,2,1,0,0
15715951,1,2,1,0,0,0
15591100,1,9,1,0,1,0
15609618,1,9,2,0,1,1
15675522,0,9,2,1,1,0
15705512,0,6,1,1,0,0
15698028,0,1,2,1,0,0
15661670,0,8,1,1,0,1
15600781,1,4,2,1,0,0
15682472,1,8,2,0,0,0
15580203,1,6,1,0,0,0
15690673,0,6,2,1,0,0
15760085,0,10,1,1,1,0
15779659,0,3,1,0,0,0
15627360,1,9,1,1,0,1
15671137,0,1,1,0,1,1
15782688,1,0,1,1,0,1
15575492,0,7,2,1,0,0
15591607,1,9,1,1,0,0
15740404,0,3,2,1,1,0
15718369,0,9,1,1,1,0
15677871,1,9,1,1,1,0
15642004,1,1,2,0,1,0
15712543,1,7,2,1,1,0
15584518,0,5,2,1,1,0
15802381,0,5,1,0,1,0
15610156,1,2,1,0,1,0
15594408,0,2,1,1,0,1
15640905,0,1,2,0,1,1
15698932,1,10,1,1,0,0
15724944,1,7,2,1,1,0
15628145,0,5,1,1,1,0
15713483,1,2,1,1,0,1
15612350,0,5,1,1,0,1
15800703,0,5,1,1,1,0
15705707,0,8,2,1,0,0
15754105,1,5,1,0,0,0
15703264,1,9,1,1,0,0
15794413,1,0,2,0,1,0
15650237,0,7,2,1,0,0
15759618,0,9,1,1,0,1
15811589,1,8,2,1,0,0
15689044,1,2,1,1,0,0
15709368,0,6,2,1,1,0
15679145,1,7,1,1,0,1
15655007,0,7,2,0,0,0
15623595,0,2,2,1,1,0
15589975,0,6,1,0,1,0
15804017,0,4,1,0,0,0
15692132,0,6,1,0,1,0
15641122,1,2,2,1,0,0
15630910,0,7,1,0,0,0
15680772,0,2,2,1,1,0
15658929,1,0,1,1,0,1
15585388,1,9,2,1,1,0
15724623,0,7,1,1,0,1
15588537,0,9,1,1,0,0
15574692,0,2,2,1,0,1
15611325,1,9,2,0,0,0
15587562,0,4,1,1,0,0
15613172,1,5,2,1,0,0
15651022,1,10,1,1,0,1
15586310,1,4,1,1,0,0
15625524,1,5,2,1,1,0
15755209,0,7,1,1,1,0
15645248,0,0,2,1,1,0
15790355,1,5,2,0,0,0
15762615,0,8,1,0,1,0
15625426,0,3,1,1,0,1
15716334,0,2,1,1,1,0
15789669,1,2,2,1,1,0
15621075,0,1,2,1,0,0
15810845,1,2,2,1,1,0
15719377,0,4,1,1,1,1
15654506,1,8,2,1,0,0
15771977,0,1,1,1,0,0
15708710,0,0,1,0,1,0
15726676,1,5,2,0,1,0
15587421,0,7,2,1,0,0
15726931,0,8,2,0,0,1
15771086,0,3,2,1,0,0
15756850,1,1,2,0,0,0
15702741,1,8,1,1,0,0
15679200,1,9,2,1,0,0
15594815,1,3,1,1,1,0
15635905,0,6,2,1,1,0
15777892,1,3,1,1,1,0
15656176,1,10,2,1,1,0
15811127,1,6,1,1,0,0
15604482,1,2,1,1,1,0
15622911,1,4,1,0,1,0
15600974,1,5,1,0,1,1
15727868,0,2,2,1,1,1
15627801,1,3,1,1,0,0
15773039,1,3,1,1,1,0
15755262,0,3,1,0,0,1
15679531,1,5,1,1,1,0
15684181,1,5,1,1,0,1
15612087,1,2,1,0,1,0
15752047,1,2,2,1,0,0
15624592,1,8,2,1,1,0
15573152,0,9,2,0,0,0
15594917,0,1,1,1,1,0
15785542,1,4,2,0,0,0
15723488,1,7,1,0,1,1
15680920,1,7,1,1,0,0
15786308,0,9,2,0,0,0
15659366,1,1,2,1,0,1
15774854,1,8,1,1,1,1
15725311,0,9,2,1,1,0
15787155,1,7,1,0,1,0
15727829,1,2,2,1,1,0
15733247,1,10,1,1,0,1
15568748,1,6,1,1,1,1
15699029,1,4,2,1,0,0
15774393,0,9,2,1,1,0
15676895,0,6,3,1,1,1
15637753,1,2,1,1,0,1
15605461,0,3,1,1,0,0
15808473,1,1,2,0,1,0
15627000,1,0,2,1,0,0
15787174,0,1,2,0,1,0
15723886,1,3,2,0,1,0
15704769,0,5,2,0,1,0
15772896,1,6,1,1,0,1
15711540,0,2,1,1,1,0
15764866,0,3,3,1,0,1
15794056,0,2,3,1,0,1
15795149,1,2,2,0,1,0
15812009,1,4,2,1,0,0
15651001,0,5,1,1,0,0
15813844,1,8,2,0,1,0
15596175,1,6,1,1,1,1
15576269,1,7,2,1,0,0
15797219,0,10,1,1,0,1
15685500,1,7,2,1,0,0
15599792,0,1,2,1,1,0
15657566,1,8,1,1,1,0
15772423,1,8,1,1,0,1
15628112,0,5,1,0,0,0
15753754,0,1,2,1,1,0
15793726,0,0,2,0,1,0
