OrderID,OrderDate,PropertyID,ProductID,Quantity,Sales
1,01-01-2015,17,41,1,85
2,01-01-2015,15,54,2,300
3,01-01-2015,5,71,2,34
4,01-01-2015,19,3,2,6
5,01-01-2015,12,45,3,306
6,01-01-2015,6,94,2,140
7,01-01-2015,5,35,2,50
8,02-01-2015,16,93,1,85
9,02-01-2015,4,93,3,255
10,02-01-2015,2,61,2,16
11,02-01-2015,2,24,1,24
12,02-01-2015,8,23,1,85
13,02-01-2015,12,24,2,48
14,03-01-2015,4,94,3,210
15,03-01-2015,16,20,2,60
16,03-01-2015,2,94,3,210
17,03-01-2015,19,84,1,75
18,03-01-2015,9,89,2,90
19,03-01-2015,20,21,3,150
20,03-01-2015,1,6,1,40
21,03-01-2015,8,57,3,210
22,03-01-2015,4,70,2,234
23,04-01-2015,17,24,1,24
24,04-01-2015,14,23,2,170
25,04-01-2015,12,52,1,18
26,04-01-2015,17,84,2,150
27,04-01-2015,10,74,1,35
28,05-01-2015,10,33,3,30
29,05-01-2015,5,73,2,30
30,05-01-2015,2,5,1,40
31,05-01-2015,11,79,2,206
32,06-01-2015,20,44,1,55
33,06-01-2015,9,64,1,27
34,06-01-2015,18,10,2,38
35,06-01-2015,1,87,1,30
36,06-01-2015,2,37,2,600
37,06-01-2015,3,23,3,255
38,06-01-2015,8,37,3,900
39,06-01-2015,10,30,3,18
40,06-01-2015,19,83,2,120
41,07-01-2015,13,19,2,34
42,07-01-2015,10,27,2,16
43,07-01-2015,5,87,3,90
44,07-01-2015,1,19,2,34
45,07-01-2015,9,23,2,170
46,08-01-2015,6,28,2,16
47,08-01-2015,14,47,3,225
48,08-01-2015,18,58,1,85
49,08-01-2015,15,13,3,60
50,08-01-2015,19,91,2,28
51,08-01-2015,5,67,2,20
52,08-01-2015,10,25,3,84
53,09-01-2015,8,51,3,255
54,09-01-2015,5,24,2,48
55,09-01-2015,14,8,3,105
56,10-01-2015,16,70,3,351
57,10-01-2015,19,41,2,170
58,10-01-2015,19,42,1,70
59,10-01-2015,13,93,2,170
60,10-01-2015,13,42,2,140
61,10-01-2015,1,18,3,72
62,10-01-2015,2,59,1,14
63,10-01-2015,7,19,2,34
64,11-01-2015,1,73,2,30
65,11-01-2015,6,83,1,60
66,11-01-2015,3,74,1,35
67,11-01-2015,5,70,2,234
68,11-01-2015,6,84,3,225
69,11-01-2015,2,48,2,80
70,11-01-2015,14,65,1,89
71,12-01-2015,19,30,1,6
72,12-01-2015,10,36,1,115
73,12-01-2015,11,25,3,84
74,12-01-2015,17,16,3,120
75,12-01-2015,3,27,2,16
76,12-01-2015,2,44,1,55
77,13-01-2015,18,44,3,165
78,13-01-2015,14,72,1,12
79,13-01-2015,16,39,3,135
80,13-01-2015,8,85,1,80
81,13-01-2015,2,75,2,50
82,14-01-2015,7,60,1,195
83,14-01-2015,20,53,1,20
84,14-01-2015,11,67,2,20
85,14-01-2015,20,65,1,89
86,14-01-2015,6,94,1,70
87,14-01-2015,14,44,3,165
88,14-01-2015,6,58,1,85
89,14-01-2015,9,59,3,42
90,15-01-2015,13,84,1,75
91,15-01-2015,16,16,3,120
92,15-01-2015,2,58,3,255
